id,name,parent_id,slug,image,description
460,Зелені культури,,green-crops,http://localhost:8888/fun-dacha/wp-categories/IMG/green-crops," Ранние витамины на столах- это практически набор растений,  которые относятся к зелёным культурам. Все разновидности салатов,, шпинат, щавель , спаржа ,черемша Это все зелень."
480,Пряносмакові культури,,spicy-crops,http://localhost:8888/fun-dacha/wp-categories/IMG/spicy-crops,"В группу пряно-вкусовых культур входят травы используемые как приправы,  майоран, укроп ,чабер и много- много других однолетних и многолетних растений,  они относительно холодостойки."
500,Газонні трави,,lawn-grass,http://localhost:8888/fun-dacha/wp-categories/IMG/lawn-grass,"Естественное разнотравье не всегда себя оправдывает поэтому последнее время в декорировании участков , так называемых газонов стали применять специальные травы  именуемые общим названием газонные."
520,Бобові культури,,bean-crops,http://localhost:8888/fun-dacha/wp-categories/IMG/bean-crops,Разнообразие видов семейства бобовых огромное и даже учёных иногда ставит в тупик. Назначение растений этого семейства применение их в качестве продукта питания
540,Квасоля ,,beans,http://localhost:8888/fun-dacha/wp-categories/IMG/beans,"Фасоль относится к разряду бобовых из за того что имеет стручковую  форму заполненную  зернами и тем не менее это  другое растение ,имеющее в отличии от бобов очень много разных сортов."
541,Квасоля спаржева,540,asparagus-beans,http://localhost:8888/fun-dacha/wp-categories/IMG/asparagus-beans,"Спаржевая фасоль выращивается ради вкусных створок,У них отсутствует пергаментная прослойка поэтому фасоль употребляется в пищу целиком. Вкусом напоминает спаржу."
551,Квасоля зернова,540,cereal-beans,http://localhost:8888/fun-dacha/wp-categories/IMG/cereal-beans,Лущильные сорта фасоли выращиваются исключительно для употребления в пищу зёрен очень питательных и содержащих большого количества белка.
560,Кукурудза,,corn,http://localhost:8888/fun-dacha/wp-categories/IMG/corn,"Кукуруза- это овощ считают некоторые люди их внимание привлекает ,высота стебля,большие листья ,крупный початок. Однако  царица полей  это однолетнее травянистое растение относится к злаковым культурам."
580,Суниця,,strawberry,http://localhost:8888/fun-dacha/wp-categories/IMG/strawberry," Земляники  включают , как дикорастущие , так и культурные формы.  Она не слишком требовательна к почвенным  составам и окружающим условиям. Можно выращивать и на солнечных грядках и  на  затенённых  участках. Урожай обычно получают в первой половине лета."
600,Рідкісні культури,,rare-cultures,http://localhost:8888/fun-dacha/wp-categories/IMG/rare-cultures,"Мы все привыкли к стандартному набору овощей, но существует много овощей не привычных ни для нашего глаза ни для нашего вкуса ,но почему бы не попробовать вырастить эти экзоты."
620,Лікарські рослини,,medicine,http://localhost:8888/fun-dacha/wp-categories/IMG/medicine," Большинство лекарственные растения собирают в дикой природе , но всё чаще и чаще лекарственные растения стали выращивать на приусадебных участках где можно содержать их в условиях отвечающих за чистоту и качественность собранного сырья.."
700,Квіти,,flowers,http://localhost:8888/fun-dacha/wp-categories/IMG/flowers,"Ароматы,разнообразие цвета ,нежность, трепет и любовь Всё это относится к многомилионной армии цветов всех видов , всех категорий и всех национальностей."
701,Квіти однорічні,700,annual-flowes,http://localhost:8888/fun-dacha/wp-categories/IMG/annual-flowes,"Большой диапазон расцветок,богатый выбор форм, разность сроков цветения дает возможность создавать любые композиции.  И то что растения однолетние позволяет экспериментировать бесконечно."
751,Квіти багаторічні,700,perennial-flowers,http://localhost:8888/fun-dacha/wp-categories/IMG/perennial-flowers,"Многолетники обычно дают возможность формировать композиции на несколько лет вперед , прекрасно соседствуют со своими собратьями и не прихотливы к почве. Это и высокорослые и луковичные типа мускари или птицемлечник и стелящиеся почвопокровные растения."
